Split,Class0_Threshold,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
Val_RawArgmax,,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9536351193559104,0.8710992241173052,0.0,0.07888631090487239
Test_RawArgmax,,0.9233894370284388,0.9241329176776745,0.9233894370284388,0.8325246884365273,0.9237140492666095,0.65,0.6610169491525424,0.6554621848739496,0.6587837837837839,59,0.9520313780628246,0.8729736150134751,0.015384615384615385,0.0771909460243761
Val_Class0Calibrated,0.26,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9536351193559104,0.8710992241173052,0.0,0.07888631090487239
Test_Class0Calibrated,0.26,0.922228670922809,0.9232726320057129,0.922228670922809,0.8282531479580899,0.9227005086211414,0.6290322580645161,0.6610169491525424,0.6446280991735537,0.6543624161073825,59,0.9520313780628246,0.8716266447681486,0.0,0.0783517121300058
