epoch,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_Class0_Precision,val_Class0_Precision,train_Class0_Recall,val_Class0_Recall,train_Class0_F1,val_Class0_F1,train_Class0_F2,val_Class0_F2,train_ChgAcc,val_ChgAcc,train_Ordinal_MAE,val_Ordinal_MAE,train_AUC,val_AUC,train_QWK,val_QWK,Learning_Rate
1,0.7698498368263245,0.8250675201416016,0.7865317631448001,0.7819025522041764,0.5271649558114003,0.5073511850305213,0.09278350515463918,0.0,0.043478260869565216,0.0,0.05921052631578947,0.0,0.04864864864864865,0.0,0.3089770354906054,0.34328358208955223,0.23486482003649028,0.24477958236658934,0.8434206540764692,0.8227297113922164,0.49635219425261745,0.4573676449696026,0.0012
2,0.5690798163414001,0.6309120655059814,0.8311494443522972,0.8225058004640371,0.5898186551113573,0.5891536635187039,0.24358974358974358,0.25,0.09178743961352658,0.1,0.13333333333333333,0.14285714285714285,0.10485651214128035,0.11363636363636363,0.2254697286012526,0.22388059701492538,0.18510532426604745,0.19837587006960558,0.9109423168045416,0.8850005055083378,0.6045538324450264,0.5687062201789626,0.0012
3,0.44632846117019653,0.5083284378051758,0.8833969149112623,0.8839907192575406,0.69775947703152,0.7142437676597014,0.36875,0.4166666666666667,0.28502415458937197,0.3333333333333333,0.3215258855585831,0.37037037037037035,0.298582995951417,0.3472222222222222,0.1127348643006263,0.13432835820895522,0.12920882401724995,0.12877030162412992,0.9228240268456765,0.8900704913052234,0.7407918157991411,0.7431868786652869,0.0012
4,0.3979438841342926,0.4564894437789917,0.9054569580361586,0.9071925754060325,0.7584596550688812,0.7588142538221314,0.49444444444444446,0.48148148148148145,0.42995169082125606,0.43333333333333335,0.4599483204134367,0.45614035087719296,0.44146825396825395,0.4421768707482993,0.05636743215031315,0.05970149253731343,0.10300215624481672,0.10208816705336426,0.9314911306191296,0.897998953352178,0.8018518514309483,0.8018828729281768,0.0012
5,0.3770942986011505,0.4222813546657562,0.9144136672748383,0.9129930394431555,0.7991105823210204,0.7816206475647572,0.5906735751295337,0.5357142857142857,0.5507246376811594,0.5,0.57,0.5172413793103449,0.5582761998041136,0.5067567567567567,0.03549060542797495,0.014925373134328358,0.09039641731630453,0.09280742459396751,0.9377009158307489,0.9136071928546191,0.8357179062790236,0.8290662318776715,0.0012
6,0.37470725178718567,0.4031130373477936,0.912589152429922,0.9164733178654292,0.7972720673539068,0.8207649043220296,0.5947368421052631,0.6333333333333333,0.5458937198067633,0.6333333333333333,0.5692695214105793,0.6333333333333333,0.5550098231827111,0.6333333333333333,0.020876826722338204,0.014925373134328358,0.09205506717531929,0.08816705336426914,0.9416367214358682,0.9253953697301013,0.8330908117321462,0.8417906273488437,0.0012
7,0.36739760637283325,0.38317835330963135,0.9140819373030353,0.919953596287703,0.8112373019127951,0.8402908205003251,0.6188118811881188,0.6774193548387096,0.6038647342995169,0.7,0.6112469437652812,0.6885245901639344,0.6067961165048544,0.695364238410596,0.016701461377870562,0.029850746268656716,0.08840603748548681,0.08236658932714618,0.9443765045123746,0.9344141118642598,0.8473287328565537,0.8593274699833325,0.0012
8,0.35265326499938965,0.3631361424922943,0.9154088571902471,0.9211136890951276,0.8116655317283016,0.8304663107908544,0.6321243523316062,0.6785714285714286,0.5893719806763285,0.6333333333333333,0.61,0.6551724137931034,0.5974534769833496,0.641891891891892,0.025052192066805846,0.04477611940298507,0.08591806269696467,0.08004640371229699,0.9465902047364468,0.9395243784448186,0.8545417333080322,0.8653142784206195,0.0012
9,0.335997998714447,0.3459070920944214,0.9172333720351634,0.9222737819025522,0.8136258790242397,0.8314188101678699,0.6354166666666666,0.6785714285714286,0.5893719806763285,0.6333333333333333,0.6115288220551378,0.6551724137931034,0.5980392156862744,0.641891891891892,0.027139874739039668,0.04477611940298507,0.08376181788024548,0.07888631090487239,0.9481234930691587,0.9419816197064664,0.8592348872822071,0.8672644240499089,0.0012
10,0.3198802173137665,0.3315886855125427,0.9177309669928678,0.9211136890951276,0.8130873259987269,0.8271684330764458,0.6288659793814433,0.6551724137931034,0.5893719806763285,0.6333333333333333,0.6084788029925187,0.6440677966101694,0.5968688845401174,0.6375838926174495,0.031315240083507306,0.04477611940298507,0.0829324929507381,0.08004640371229699,0.9502083974734917,0.9442676664513439,0.8619560364294876,0.8660371493987191,0.0012
11,0.30718308687210083,0.3236663341522217,0.9177309669928678,0.919953596287703,0.8131561093902372,0.8188550368339533,0.6288659793814433,0.6428571428571429,0.5893719806763285,0.6,0.6084788029925187,0.6206896551724138,0.5968688845401174,0.6081081081081081,0.04175365344467641,0.04477611940298507,0.0829324929507381,0.08120649651972157,0.9527221094511479,0.9445652530864482,0.8620200678129569,0.8635812129631257,0.0012
12,0.2986169159412384,0.3220670819282532,0.9180626969646708,0.919953596287703,0.8159976550762095,0.8188550368339533,0.640625,0.6428571428571429,0.5942028985507246,0.6,0.6165413533834586,0.6206896551724138,0.6029411764705882,0.6081081081081081,0.04592901878914405,0.04477611940298507,0.08260076297893515,0.08120649651972157,0.95475157303638,0.941484305693768,0.8624457513469448,0.8635812129631257,0.0012
13,0.29296934604644775,0.3184681832790375,0.9175651020069663,0.9187935034802784,0.8151342720104958,0.8180202553028101,0.6373056994818653,0.6428571428571429,0.5942028985507246,0.6,0.615,0.6206896551724138,0.6023506366307542,0.6081081081081081,0.04175365344467641,0.04477611940298507,0.08309835793663957,0.08236658932714618,0.9561453768248298,0.9424108536181498,0.8617134225709473,0.8617418166957423,0.0012
14,0.2892119884490967,0.31643983721733093,0.9187261569082766,0.9222737819025522,0.8203578130256588,0.8352239251542363,0.6446700507614214,0.6666666666666666,0.6135265700483091,0.6666666666666666,0.6287128712871287,0.6666666666666666,0.6195121951219511,0.6666666666666666,0.04175365344467641,0.04477611940298507,0.08193730303532924,0.07888631090487239,0.9572164286400361,0.9433346430030571,0.8639188620354794,0.8684726787629369,0.0012
15,0.2880479395389557,0.3161526620388031,0.9190578868800796,0.9211136890951276,0.8220896162403832,0.8271684330764458,0.654639175257732,0.6551724137931034,0.6135265700483091,0.6333333333333333,0.6334164588528678,0.6440677966101694,0.62133072407045,0.6375838926174495,0.04592901878914405,0.04477611940298507,0.08177143804942777,0.08004640371229699,0.9577510843664458,0.9447256967720769,0.8633702160842229,0.8660371493987191,0.0012
16,0.2894255518913269,0.3169868588447571,0.9197213468236856,0.9176334106728539,0.8255594543363319,0.8147820190074743,0.675531914893617,0.59375,0.6135265700483091,0.6333333333333333,0.6430379746835443,0.6129032258064516,0.625,0.625,0.05636743215031315,0.0,0.08110797810582186,0.08352668213457076,0.9577182845982426,0.9457369465970547,0.8639184825631464,0.8621026598872401,0.0012
