row_id,ticker,company_name,rating_date,sector,true_label,true_label_name,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,feature,feature_value,gradientshap_attribution,direction,feature_source,probability_source,xai_probability_source,xai_method,gradientshap_method,proxy_mse,proxy_argmax_agreement
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,1,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,net_profit_margin,0.1399145381218269,-0.03797144070267677,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,2,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,asset_turnover,0.5489244496001938,0.019034916535019875,supports_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,3,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,ebit_margin,0.2407374648247666,-0.015779634937644005,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,4,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,operating_cashflow_ps,-0.1722662810152582,0.015571989119052887,supports_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,5,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,current_ratio,-1.2668765623789726,-0.012662023305892944,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,6,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,pretax_profit_margin,0.2299410489125897,-0.01117967814207077,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,7,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,roa,0.6807305904716344,-0.009573305025696754,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,8,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,roe,0.1492173376947991,0.003493884578347206,supports_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,9,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,free_cashflow_ps,-0.0088461790630786,0.003165534930303693,supports_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
7921,TEO,Telecom Argentina S.A.,2016-04-21,9,1,1,1505,10,dmf_dcs,DMF/DCS Fusion,0,0,0.9884291084113952,0,0,0.9884291084113952,gross_profit_margin,1.6980487883080992,0.0016892728162929416,supports_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.06108353056827161,0.8351712130005804
