class0_threshold,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
0.05,0.888631090487239,0.9131230339220523,0.888631090487239,0.747262721847183,0.8972355238765358,0.3283582089552239,0.7333333333333333,0.4536082474226804,0.5882352941176472,30,0.9536351193559104,0.7999562275713472,0.0,0.12180974477958237
0.06,0.9013921113689095,0.9166521979695239,0.9013921113689095,0.7733364391590339,0.9067172545065466,0.39285714285714285,0.7333333333333333,0.5116279069767442,0.625,30,0.9536351193559104,0.8253969502578161,0.0,0.10556844547563805
0.07,0.9048723897911833,0.9178344558871506,0.9048723897911833,0.7816249152427655,0.9094309159596705,0.41509433962264153,0.7333333333333333,0.5301204819277109,0.6358381502890172,30,0.9536351193559104,0.8285546079429735,0.0,0.10208816705336426
0.08,0.9060324825986079,0.9174282215757138,0.9060324825986079,0.7861611596235045,0.91005515798513,0.43137254901960786,0.7333333333333333,0.5432098765432098,0.6432748538011697,30,0.9536351193559104,0.8341550227267261,0.0,0.09976798143851508
0.09,0.9071925754060325,0.9177772589607307,0.9071925754060325,0.788740476333983,0.9108984341198257,0.44,0.7333333333333333,0.55,0.6470588235294118,30,0.9536351193559104,0.840397356324615,0.0,0.09744779582366589
0.1,0.9106728538283063,0.9191617255149543,0.9106728538283063,0.7979754828387007,0.913682961505928,0.46808510638297873,0.7333333333333333,0.5714285714285714,0.6586826347305388,30,0.9536351193559104,0.8438043349906141,0.0,0.09396751740139211
0.11,0.9129930394431555,0.9201520246917676,0.9129930394431555,0.8044368649249255,0.9155600347575579,0.4888888888888889,0.7333333333333333,0.5866666666666667,0.6666666666666666,30,0.9536351193559104,0.8461200687795729,0.0,0.09164733178654293
0.12,0.9129930394431555,0.9194583295293202,0.9129930394431555,0.8065501881655658,0.9153201386324485,0.5,0.7333333333333333,0.5945945945945946,0.6707317073170731,30,0.9536351193559104,0.8508429327136995,0.0,0.09048723897911833
0.13,0.91415313225058,0.9193532496548739,0.91415313225058,0.8122149504726638,0.9160501516357354,0.5238095238095238,0.7333333333333333,0.6111111111111112,0.6790123456790123,30,0.9536351193559104,0.8568213339534421,0.0,0.08816705336426914
0.14,0.91415313225058,0.9193532496548739,0.91415313225058,0.8122149504726638,0.9160501516357354,0.5238095238095238,0.7333333333333333,0.6111111111111112,0.6790123456790123,30,0.9536351193559104,0.8568213339534421,0.0,0.08816705336426914
0.15,0.9153132250580046,0.9199355038477616,0.9153132250580046,0.8157681722519022,0.9170164006004099,0.5365853658536586,0.7333333333333333,0.6197183098591549,0.6832298136645962,30,0.9536351193559104,0.8580493194088341,0.0,0.08700696055684455
0.16,0.9164733178654292,0.9205389778775885,0.9164733178654292,0.8194008885281671,0.9179887927048113,0.55,0.7333333333333333,0.6285714285714286,0.6874999999999999,30,0.9536351193559104,0.8592871015269221,0.0,0.08584686774941995
0.17,0.9164733178654292,0.9205389778775885,0.9164733178654292,0.8194008885281671,0.9179887927048113,0.55,0.7333333333333333,0.6285714285714286,0.6874999999999999,30,0.9536351193559104,0.8592871015269221,0.0,0.08584686774941995
0.18,0.9176334106728539,0.9210783873903053,0.9176334106728539,0.8227528348246547,0.9189116970712592,0.5641025641025641,0.7333333333333333,0.6376811594202898,0.6918238993710691,30,0.9536351193559104,0.8659172314056536,0.0,0.08352668213457076
0.19,0.9187935034802784,0.9217306345371327,0.9187935034802784,0.8265579341896622,0.9198999423605003,0.5789473684210527,0.7333333333333333,0.6470588235294118,0.6962025316455696,30,0.9536351193559104,0.8671970960048963,0.0,0.08236658932714618
0.2,0.9187935034802784,0.9217306345371327,0.9187935034802784,0.8265579341896622,0.9198999423605003,0.5789473684210527,0.7333333333333333,0.6470588235294118,0.6962025316455696,30,0.9536351193559104,0.8671970960048963,0.0,0.08236658932714618
