checkpoint,epoch,val_accuracy,val_ce_loss,train_ce_loss,val_loss_gap,metric_score,checkpoint_score,protocol,val_nll,val_objective,accuracy_floor
metric,9,0.925754060324826,0.43573862314224243,0.39662981033325195,0.03910881280899048,0.7977961534066902,0.7977961534066902,,,,
loss,100,0.9222737819025522,0.39987123012542725,0.3432829976081848,0.05658823251724243,0.7832259136358155,0.7832259136358155,benchmark_ce,0.39987123012542725,0.39987123012542725,
balanced_loss,10,0.9234338747099768,0.42988839745521545,0.3902457356452942,0.039642661809921265,0.7957926692993995,0.7957926692993995,,,,0.922754060324826
selected:balanced_loss,10,0.9234338747099768,0.42988839745521545,0.3902457356452942,0.039642661809921265,0.7957926692993995,0.7957926692993995,,,,0.922754060324826
