feature,mean_abs_shap
asset_turnover,0.029664421415641504
free_cashflow_ps,0.01686806644619466
roa,0.013878358070550231
current_ratio,0.011875334390043388
pretax_profit_margin,0.01161257842100869
debt_equity_ratio,0.011563783669955054
gross_profit_margin,0.01130011817627901
net_profit_margin,0.011108636123405414
operating_cashflow_ps,0.008489967931274002
roe_delta,0.00536002094068592
roe,0.004689747401276369
ebit_margin,0.004233387806757325
debt_equity_ratio_delta,0.004149538083262924
gross_profit_margin_delta,0.002523484242548069
operating_profit_margin_delta,0.0022432432395382527
operating_cashflow_ps_delta,0.002204104405279815
operating_profit_margin,0.002076024418652902
roa_delta,0.0016199723266980084
current_ratio_delta,0.0011215767276946047
net_profit_margin_delta,0.0008414696391418248
asset_turnover_delta,0.0005650918382972455
pretax_profit_margin_delta,0.00020533703401693325
ebit_margin_delta,7.42013294580204e-05
free_cashflow_ps_delta,0.0
