sample_rank,sample_index,ticker,y_true,y_pred,pred_prob,target_class_explained,feature_flat,feature_value,shap_value,abs_shap_value,last_y_context,sector_id
8,92,WBT,1,1,0.5195093750953674,1,t-0__debt_equity_ratio,-1.3680533170700073,-0.03814276441058488,0.03814276441058488,1,1
8,92,WBT,1,1,0.5195093750953674,1,t-0__net_profit_margin,0.4513580799102783,-0.01820747100743809,0.01820747100743809,1,1
8,92,WBT,1,1,0.5195093750953674,1,t-0__free_cashflow_ps,-0.16881170868873596,0.017306122587340253,0.017306122587340253,1,1
8,92,WBT,1,1,0.5195093750953674,1,t-0__roa,1.1121855974197388,-0.014793017826434619,0.014793017826434619,1,1
8,92,WBT,1,1,0.5195093750953674,1,t-0__debt_equity_ratio_delta,0.0,0.009972414756575402,0.009972414756575402,1,1
8,92,WBT,1,1,0.5195093750953674,1,t-0__asset_turnover,0.40830090641975403,0.00981321314013357,0.00981321314013357,1,1
8,92,WBT,1,1,0.5195093750953674,1,t-0__operating_cashflow_ps_delta,0.0,-0.009095736873560951,0.009095736873560951,1,1
8,92,WBT,1,1,0.5195093750953674,1,t-0__roe,0.18849118053913116,-0.00850059971760835,0.00850059971760835,1,1
6,72,PTC,1,1,0.666616678237915,1,t-0__gross_profit_margin,1.4502618312835693,-0.03428966349966764,0.03428966349966764,1,2
6,72,PTC,1,1,0.666616678237915,1,t-0__free_cashflow_ps,-0.5500319004058838,0.03155044313763506,0.03155044313763506,1,2
6,72,PTC,1,1,0.666616678237915,1,t-0__pretax_profit_margin,-0.5739659667015076,0.026141412199312788,0.026141412199312788,1,2
6,72,PTC,1,1,0.666616678237915,1,t-0__roa,-0.5887728333473206,0.02325634008085161,0.02325634008085161,1,2
6,72,PTC,1,1,0.666616678237915,1,t-0__net_profit_margin,-0.32428207993507385,0.020881463879633157,0.020881463879633157,1,2
6,72,PTC,1,1,0.666616678237915,1,t-0__roe,-0.25894397497177124,0.009345758004813227,0.009345758004813227,1,2
6,72,PTC,1,1,0.666616678237915,1,t-0__ebit_margin,-0.8566718101501465,0.009020520864184301,0.009020520864184301,1,2
6,72,PTC,1,1,0.666616678237915,1,t-0__current_ratio,-0.6250743269920349,0.008294430294749603,0.008294430294749603,1,2
7,62,MDCA,1,1,0.6911329030990601,1,t-0__roa,-1.7628072500228882,0.04739956574281811,0.04739956574281811,1,2
7,62,MDCA,1,1,0.6911329030990601,1,t-0__current_ratio,-1.4632508754730225,0.043093235571463995,0.043093235571463995,1,2
7,62,MDCA,1,1,0.6911329030990601,1,t-0__debt_equity_ratio,-4.656493186950684,0.0327562220019313,0.0327562220019313,1,2
7,62,MDCA,1,1,0.6911329030990601,1,t-0__roe_delta,0.0,0.029101969681664678,0.029101969681664678,1,2
7,62,MDCA,1,1,0.6911329030990601,1,t-0__pretax_profit_margin,-0.8975850939750671,-0.023249471894544557,0.023249471894544557,1,2
7,62,MDCA,1,1,0.6911329030990601,1,t-0__asset_turnover,0.26303714513778687,-0.016520596487477834,0.016520596487477834,1,2
7,62,MDCA,1,1,0.6911329030990601,1,t-0__debt_equity_ratio_delta,0.0,0.015002319394367138,0.015002319394367138,1,2
7,62,MDCA,1,1,0.6911329030990601,1,t-0__gross_profit_margin_delta,0.0,0.012200522223532724,0.012200522223532724,1,2
3,79,SITE,1,1,0.7538242936134338,1,t-0__asset_turnover,2.6855783462524414,0.16924881925555524,0.16924881925555524,1,6
3,79,SITE,1,1,0.7538242936134338,1,t-0__free_cashflow_ps,0.41557952761650085,0.0792309146358351,0.0792309146358351,1,6
3,79,SITE,1,1,0.7538242936134338,1,t-0__operating_cashflow_ps,0.6231003999710083,-0.02558076439881427,0.02558076439881427,1,6
3,79,SITE,1,1,0.7538242936134338,1,t-0__roa,-0.03438826650381088,-0.025577940914297506,0.025577940914297506,1,6
3,79,SITE,1,1,0.7538242936134338,1,t-0__pretax_profit_margin,-0.4606671631336212,-0.02417107680828659,0.02417107680828659,1,6
3,79,SITE,1,1,0.7538242936134338,1,t-0__gross_profit_margin,-0.1765986680984497,0.022611218732710967,0.022611218732710967,1,6
3,79,SITE,1,1,0.7538242936134338,1,t-0__operating_profit_margin,-0.760793149471283,0.016608195349223216,0.016608195349223216,1,6
3,79,SITE,1,1,0.7538242936134338,1,t-0__current_ratio,1.0542348623275757,-0.016380379499007558,0.016380379499007558,1,6
2,31,EA,2,2,0.8182154297828674,1,t-0__roe,1.136453628540039,-0.01967162148778937,0.01967162148778937,2,2
2,31,EA,2,2,0.8182154297828674,1,t-0__gross_profit_margin,1.2650569677352905,-0.01753281594050368,0.01753281594050368,2,2
2,31,EA,2,2,0.8182154297828674,1,t-0__net_profit_margin,1.541695237159729,-0.011599985593477028,0.011599985593477028,2,2
2,31,EA,2,2,0.8182154297828674,1,t-0__ebit_margin,0.7615895867347717,-0.009233519810339342,0.009233519810339342,2,2
2,31,EA,2,2,0.8182154297828674,1,t-0__pretax_profit_margin,1.0029371976852417,-0.007876530147214624,0.007876530147214624,2,2
2,31,EA,2,2,0.8182154297828674,1,t-0__current_ratio_delta,0.0,-0.004341493725349696,0.004341493725349696,2,2
2,31,EA,2,2,0.8182154297828674,1,t-0__operating_cashflow_ps_delta,0.0,-0.0036926752986445603,0.0036926752986445603,2,2
2,31,EA,2,2,0.8182154297828674,1,t-0__roa_delta,0.0,-0.0026977131362634047,0.0026977131362634047,2,2
1,38,FTS,2,2,0.8117725253105164,1,t-0__net_profit_margin,0.5499416589736938,-0.0171988801424716,0.0171988801424716,2,11
1,38,FTS,2,2,0.8117725253105164,1,t-0__operating_cashflow_ps,1.6557950973510742,-0.012835111800055865,0.012835111800055865,2,11
1,38,FTS,2,2,0.8117725253105164,1,t-0__debt_equity_ratio,0.2546197175979614,0.011469699013435933,0.011469699013435933,2,11
1,38,FTS,2,2,0.8117725253105164,1,t-0__current_ratio,-1.2267520427703857,-0.009036443637398762,0.009036443637398762,2,11
1,38,FTS,2,2,0.8117725253105164,1,t-0__asset_turnover,-1.492022156715393,-0.008562845276237617,0.008562845276237617,2,11
1,38,FTS,2,2,0.8117725253105164,1,t-0__gross_profit_margin,-0.008934568613767624,0.006717850374326588,0.006717850374326588,2,11
1,38,FTS,2,2,0.8117725253105164,1,t-0__operating_profit_margin_delta,0.0,-0.00585524988179633,0.00585524988179633,2,11
1,38,FTS,2,2,0.8117725253105164,1,t-0__operating_cashflow_ps_delta,0.0,-0.004844423070033008,0.004844423070033008,2,11
4,39,FTS,2,2,0.8117725253105164,1,t-0__asset_turnover,-1.492022156715393,-0.013025393098167876,0.013025393098167876,2,11
4,39,FTS,2,2,0.8117725253105164,1,t-0__operating_cashflow_ps,1.6557950973510742,-0.012370825394636532,0.012370825394636532,2,11
