rating_detail,rating_class,binary_rating,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
BBB-,BBB,1,Methanex Corporation,MEOH,Moody's Investors Service,10/9/2013,Basic Industries,credit_rating_financial,1.7158,0.603,0.191988,0.13192,0.13192,0.108864,0.087422,0.7685,0.125676,0.059326,3.4487,3.5583
BBB-,BBB,1,Methanex Corporation,MEOH,Moody's Investors Service,11/12/2014,Basic Industries,credit_rating_financial,3.3021,0.8427,0.181694,0.117488,0.117488,-0.044254,-0.012933,0.7541,0.112264,0.046802,-0.1957,-0.2812
BBB-,BBB,1,Methanex Corp.,MEOH,Standard & Poor's Ratings Services,11/7/2011,Basic Industries,credit_rating_financial,2.2925,0.6677,0.118365,0.020223,0.020223,-0.002946,0.000609,0.4099,0.000539,0.000252,1.2459,-2.4804
BBB-,BBB,1,Methanex Corp.,MEOH,Standard & Poor's Ratings Services,11/22/2011,Basic Industries,credit_rating_financial,2.2925,0.6677,0.118365,0.020223,0.020223,-0.002946,0.000609,0.4099,0.000539,0.000252,1.2459,-2.4804
BBB-,BBB,1,Methanex Corp.,MEOH,Standard & Poor's Ratings Services,11/29/2012,Basic Industries,credit_rating_financial,2.4548,0.6656,0.135631,0.06883,0.06883,0.069217,0.051729000000000004,0.6405,0.055886,0.025897999999999997,0.3891,2.6544
BBB-,BBB,1,Methanex Corp.,MEOH,Standard & Poor's Ratings Services,9/5/2013,Basic Industries,credit_rating_financial,1.7158,0.603,0.191988,0.13192,0.13192,0.108864,0.087422,0.7685,0.125676,0.059326,3.4487,3.5583
BBB-,BBB,1,Methanex Corp.,MEOH,Standard & Poor's Ratings Services,10/10/2014,Basic Industries,credit_rating_financial,3.3021,0.8427,0.181694,0.117488,0.117488,-0.044254,-0.012933,0.7541,0.112264,0.046802,-0.1957,-0.2812
BBB-,BBB,1,Methanex Corp.,MEOH,Standard & Poor's Ratings Services,11/7/2014,Basic Industries,credit_rating_financial,3.3021,0.8427,0.181694,0.117488,0.117488,-0.044254,-0.012933,0.7541,0.112264,0.046802,-0.1957,-0.2812
B,B,0,Mercer International Inc.,MERC,Moody's Investors Service,11/12/2014,Basic Industries,corporate_rating,3.098335108,1.976278254,0.17847235,0.137687301,0.139472663,0.082017714,0.096292098,0.899621736,0.257824462,0.086626464,2.249581506,1.711068524
B+,B,0,Mercer International Inc.,MERC,Moody's Investors Service,10/13/2016,Capital Goods,credit_rating_financial,3.7235,1.6981,0.20511,0.16035900000000003,0.16035900000000003,0.101578,0.073076,0.8735,0.19714600000000002,0.063832,0.1451,-0.0196
