rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,fe_leverage_liquidity,fe_cashflow_conversion,fe_cashflow_spread_ps,fe_profitability_composite,fe_earnings_quality_gap,fe_current_ratio_sector_z,fe_current_ratio_sector_year_z,fe_debt_equity_ratio_sector_z,fe_debt_equity_ratio_sector_year_z,fe_ebit_margin_sector_z,fe_ebit_margin_sector_year_z,fe_net_profit_margin_sector_z,fe_net_profit_margin_sector_year_z,fe_roa_sector_z,fe_roa_sector_year_z,fe_roe_sector_z,fe_roe_sector_year_z,fe_operating_cashflow_ps_sector_z,fe_operating_cashflow_ps_sector_year_z,fe_free_cashflow_ps_sector_z,fe_free_cashflow_ps_sector_year_z
IG,Vector Ltd.,VGR,Standard & Poor's Ratings Services,11/13/2011,Finance,credit_rating_financial,2.3219,-15.106,0.205196,0.104687,0.104687,0.080477,0.049787,1.1197,-1.169789,0.056955,0.5282,0.3604,-6.505878806,0.682317304,0.1678,-0.081142857,0.0549,0.213068673,1.180648603,-2.713444778,-2.196001345,-0.755393564,-0.329991025,-0.47664072,0.044564289,0.155303327,0.110689528,-1.775823953,-0.779702732,-0.200234451,-0.458771887,-0.167264088,0.896029127
HY,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,1/30/2013,Consumer Non-Durables,corporate_rating,3.274540247,-14.71234795,0.240740365,0.142855167,0.049529481,0.049529481,0.028234856,0.997989383,-0.386387725,0.028178086,0.993776188,0.860640009,-4.492950717,0.866030017,0.133136179,0.021811387,0.114620311,2.130897937,1.875552915,-3.942607385,-3.500794683,-0.719294069,-1.026934732,-0.581975317,-0.956144357,-0.712174467,-0.630495017,-1.96065252,-1.475986728,0.110785642,0.311808303,0.184523387,0.33605724
HY,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,9/6/2013,Finance,credit_rating_financial,3.2745,-10.042,0.240253,0.141423,0.141423,0.049033,0.027397,1.0081,-0.386388,0.028178,0.3963,0.235,-3.066727745,0.592985112,0.1613,0.034474143,0.114026,0.74336534,0.550603363,-1.842569862,-2.466139671,-0.497486975,-0.477489202,-0.644937303,-0.494421248,-0.403475929,-0.33395022,-0.646245803,-1.317188424,-0.238959874,-0.285163016,-0.208957719,-0.262475002
IG,Vector Ltd.,VGR,Standard & Poor's Ratings Services,11/26/2013,Finance,credit_rating_financial,3.2745,-10.042,0.240253,0.141423,0.141423,0.049033,0.027397,1.0081,-0.386388,0.028178,0.3963,0.235,-3.066727745,0.592985112,0.1613,0.034474143,0.114026,0.74336534,0.550603363,-1.842569862,-2.466139671,-0.497486975,-0.477489202,-0.644937303,-0.494421248,-0.403475929,-0.33395022,-0.646245803,-1.317188424,-0.238959874,-0.285163016,-0.208957719,-0.262475002
HY,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,4/9/2014,Finance,credit_rating_financial,1.4522,-15.6497,0.289734,0.102958,0.102958,0.056226,0.03454,0.8542,-1.714471,0.029304,-0.2824,-0.2959,-8.313552712,1.047804533,0.0135,-0.156964429,0.068418,-0.271078935,-0.264637784,-2.80694689,-2.668614658,-0.767532079,-0.869882119,-0.591246258,-0.651256888,-0.381611751,-0.309666335,-2.561195539,-2.7039156,-0.438224047,-0.413089989,-0.385474053,-0.359206184
HY,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,11/13/2014,Finance,credit_rating_financial,1.4522,-15.6497,0.289734,0.102958,0.102958,0.056226,0.03454,0.8542,-1.714471,0.029304,-0.2824,-0.2959,-8.313552712,1.047804533,0.0135,-0.156964429,0.068418,-0.271078935,-0.264637784,-2.80694689,-2.668614658,-0.767532079,-0.869882119,-0.591246258,-0.651256888,-0.381611751,-0.309666335,-2.561195539,-2.7039156,-0.438224047,-0.413089989,-0.385474053,-0.359206184
HY,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,11/25/2015,Finance,credit_rating_financial,3.5373,-15.6497,0.310595,0.133498,0.133498,0.051705,0.022517,1.1181,-1.868179,0.034508,0.3937,0.3236,-4.424193594,0.821945644,0.0701,-0.168836857,0.110981,0.889661754,1.404267332,-2.80694689,-2.724239689,-0.553124761,-0.843031545,-0.681618291,-1.113418699,-0.280562745,-0.576400089,-2.782825583,-2.540667444,-0.239723225,-0.308713724,-0.17949954,-0.482673732
HY,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,5/2/2016,Finance,credit_rating_financial,2.6988,-8.2602,0.330359,0.120638,0.120638,0.064992,0.034665,1.2941,-0.544134,0.051906,0.1922,0.2936,-3.060693642,1.527575442,-0.1014,0.025580571,0.085973,0.422882671,0.428555881,-1.536147088,-2.150119037,-0.643408917,-0.666164826,-0.590306684,-0.876300582,0.057264043,-0.039241595,-0.8736982,-1.524371771,-0.298882988,-0.520081878,-0.189474092,-0.531016868
HY,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,11/29/2016,Finance,credit_rating_financial,2.6988,-8.2602,0.330359,0.120638,0.120638,0.064992,0.034665,1.2941,-0.544134,0.051906,0.1922,0.2936,-3.060693642,1.527575442,-0.1014,0.025580571,0.085973,0.422882671,0.428555881,-1.536147088,-2.150119037,-0.643408917,-0.666164826,-0.590306684,-0.876300582,0.057264043,-0.039241595,-0.8736982,-1.524371771,-0.298882988,-0.520081878,-0.189474092,-0.531016868
IG,Viacom Inc.,VIA,Fitch Ratings,8/5/2016,Public Utilities,credit_rating_financial,1.2197,1.4627,0.326578,0.083498,0.083498,0.078036,0.010791,2.2076,0.779585,0.160108,5.9227,6.1641,1.199229319,1.040758438,-0.2414,0.217442,0.072707,0.199852646,0.164450303,-0.034478887,0.071590775,-0.68438986,-0.204986557,-0.640812254,-0.177447769,2.213667332,2.353581519,1.931358958,1.271247738,2.005435462,1.666422601,2.242901261,1.915170504
