epoch,train_Loss,val_Loss,train_CE_Loss,val_CE_Loss,train_Aux_Loss,val_Aux_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_Class0_Precision,val_Class0_Precision,train_Class0_Recall,val_Class0_Recall,train_Class0_F1,val_Class0_F1,train_Class0_F2,val_Class0_F2,train_ChgAcc,val_ChgAcc,train_Ordinal_MAE,val_Ordinal_MAE,train_AUC,val_AUC,train_QWK,val_QWK,Learning_Rate,context_mask_prob,val_MetricScore,val_CheckpointScore
1,0.33598002791404724,0.3332448899745941,0.3359794020652771,0.333244264125824,6.332074349302275e-07,6.339604396998766e-07,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.9038786386562049,0.9176076626832607,0.8686628450344477,0.8710992241173052,0.001,0.2,0.8349061451563148,0.8022141116276649
2,0.307084858417511,0.3029969334602356,0.3070838153362274,0.302995890378952,1.04748608009686e-06,1.044488953994005e-06,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.9255971301459575,0.928577661511798,0.8686628450344477,0.8710992241173052,0.001,0.1925,0.8349061451563148,0.8058439164772895
3,0.2921846807003021,0.28717413544654846,0.2921833097934723,0.287172794342041,1.361680801892362e-06,1.351331206933537e-06,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.936049587044967,0.9375458562327337,0.8686628450344477,0.8710992241173052,0.001,0.185,0.8349061451563148,0.8077426880017189
4,0.28553491830825806,0.2800368368625641,0.28553327918052673,0.28003522753715515,1.6335792452082387e-06,1.613932681721053e-06,0.9200530767954884,0.9222737819025522,0.8252134748275207,0.828241669370457,0.6394230769230769,0.6551724137931034,0.642512077294686,0.6333333333333333,0.6409638554216868,0.6440677966101694,0.6418918918918918,0.6375838926174495,0.008350730688935281,0.04477611940298507,0.08094211311992039,0.08004640371229699,0.9423072459633041,0.9444605620156373,0.8651869927294444,0.8621537194355238,0.001,0.17750000000000002,0.8275063690401849,0.8053958070293351
5,0.2832358181476593,0.2776605486869812,0.2832339406013489,0.27765870094299316,1.8815010207617888e-06,1.8528234022596735e-06,0.9180626969646708,0.9234338747099768,0.7938938591216166,0.8145178542413912,0.6598639455782312,0.75,0.46859903381642515,0.5,0.5480225988700564,0.6,0.4974358974358975,0.5357142857142857,0.05845511482254697,0.11940298507462686,0.08343008790844253,0.0777262180974478,0.9461218786694291,0.9477847568900962,0.8541827509983214,0.8646757158913547,0.001,0.17,0.8208687345541159,0.8047049235423591
6,0.2825566828250885,0.2771916687488556,0.282554566860199,0.27718958258628845,2.1087159893795615e-06,2.0726072307297727e-06,0.9165699120915575,0.9222737819025522,0.7646612310452984,0.7920463130855243,0.6857142857142857,0.8,0.34782608695652173,0.4,0.46153846153846156,0.5333333333333333,0.38585209003215437,0.4444444444444445,0.09394572025052192,0.14925373134328357,0.08475700779565434,0.07888631090487239,0.9491359095043355,0.9503399946176359,0.8485632111729711,0.8596718078475878,0.001,0.1625,0.8094824870935869,0.7989825176332481
7,0.2819485366344452,0.27699872851371765,0.28194621205329895,0.2769964337348938,2.3262366539711365e-06,2.286240032844944e-06,0.9159064521479515,0.9222737819025522,0.7574061438624872,0.7888197505257396,0.717391304347826,0.9166666666666666,0.3188405797101449,0.36666666666666664,0.4414715719063545,0.5238095238095238,0.35869565217391297,0.41666666666666663,0.10855949895615867,0.1791044776119403,0.08492287278155582,0.07888631090487239,0.9518420017247732,0.9529869302456997,0.8487119156038908,0.8578415666170345,0.001,0.155,0.8076000541886804,0.7985742554579904
8,0.28032708168029785,0.2760777473449707,0.2803245484828949,0.27607524394989014,2.5440795070608146e-06,2.50521566158568e-06,0.9170675070492619,0.9222737819025522,0.7719253876116622,0.7771335712856925,0.7474747474747475,0.9090909090909091,0.357487922705314,0.3333333333333333,0.48366013071895425,0.4878048780487805,0.39913700107874867,0.381679389312977,0.11691022964509394,0.19402985074626866,0.083595952894344,0.07888631090487239,0.9542633096014543,0.9549957985988137,0.8523553800675401,0.8571387983938177,0.001,0.1475,0.8035735619525407,0.7968490401729623
9,0.2774718105792999,0.27402809262275696,0.27746903896331787,0.2740253508090973,2.770319042610936e-06,2.7364185370970517e-06,0.9160723171338531,0.919953596287703,0.7751340091883229,0.7682860531676036,0.6896551724137931,0.7692307692307693,0.3864734299516908,0.3333333333333333,0.4953560371517028,0.46511627906976744,0.423728813559322,0.3759398496240601,0.09603340292275574,0.16417910447761194,0.08459114280975286,0.08120649651972157,0.9564330321393654,0.9569733887924866,0.8522556286045848,0.8543713923694214,0.001,0.14,0.7986990873050958,0.792928845832149
10,0.2734333872795105,0.27083539962768555,0.27343037724494934,0.2708324193954468,3.0088392577454215e-06,2.981666511914227e-06,0.9185602919223752,0.9211136890951276,0.8052108541502531,0.8000169785846487,0.6933333333333334,0.7,0.5024154589371981,0.4666666666666667,0.5826330532212886,0.56,0.5316973415132924,0.5,0.07515657620041753,0.11940298507462686,0.08210316802123072,0.08004640371229699,0.9583194567384631,0.958756676939409,0.8595905904086804,0.8607532728737128,0.001,0.1325,0.8137507313147148,0.8007389620379411
