class0_threshold,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
0.05,0.8863109048723898,0.9158533292047885,0.8863109048723898,0.751560470668751,0.8957491737576565,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.6410256410256411,30,0.9691337958693523,0.8165553680193733,0.04477611940298507,0.12064965197215777
0.06,0.8979118329466357,0.9157435175422114,0.8979118329466357,0.7700571255627436,0.9039456111204592,0.38333333333333336,0.7666666666666667,0.5111111111111111,0.6388888888888888,30,0.9691337958693523,0.8330453915104937,0.014925373134328358,0.10672853828306264
0.07,0.9071925754060325,0.9189283995538413,0.9071925754060325,0.7923726146352373,0.911229701792905,0.4423076923076923,0.7666666666666667,0.5609756097560976,0.6686046511627908,30,0.9691337958693523,0.8417275376202451,0.014925373134328358,0.09744779582366589
0.08,0.9153132250580046,0.9221747184355126,0.9153132250580046,0.8143025473413906,0.9177140881030025,0.5111111111111111,0.7666666666666667,0.6133333333333333,0.696969696969697,30,0.9691337958693523,0.8550178858586853,0.014925373134328358,0.08816705336426914
0.09,0.9153132250580046,0.9199355038477616,0.9153132250580046,0.8157681722519022,0.9170164006004099,0.5365853658536586,0.7333333333333333,0.6197183098591549,0.6832298136645962,30,0.9691337958693523,0.8580493194088341,0.0,0.08700696055684455
0.1,0.9187935034802784,0.9218166503157853,0.9187935034802784,0.8269193241449712,0.9199535690141148,0.5789473684210527,0.7333333333333333,0.6470588235294118,0.6962025316455696,30,0.9691337958693523,0.8617925284591952,0.0,0.08352668213457076
0.11,0.9211136890951276,0.9231182768943684,0.9211136890951276,0.834444961734173,0.9218989474104715,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.7051282051282052,30,0.9691337958693523,0.8697879655672761,0.0,0.08004640371229699
0.12,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.13,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.14,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.15,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.16,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.17,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.18,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.19,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.2,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.21,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.22,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.23,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.24,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.25,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.26,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.27,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.28,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.29,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9691337958693523,0.8710992241173052,0.0,0.07888631090487239
0.3,0.9234338747099768,0.9245504516746675,0.9234338747099768,0.8423760991207034,0.9238835149977466,0.6470588235294118,0.7333333333333333,0.6875,0.7142857142857143,30,0.9691337958693523,0.877920450448904,0.014925373134328358,0.0765661252900232
0.31,0.9234338747099768,0.9245504516746675,0.9234338747099768,0.8423760991207034,0.9238835149977466,0.6470588235294118,0.7333333333333333,0.6875,0.7142857142857143,30,0.9691337958693523,0.877920450448904,0.014925373134328358,0.0765661252900232
