Split,Class0_Threshold,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
Val_PersistenceBaseline,,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9036286532109458,0.8710992241173052,0.0,0.07888631090487239
Test_PersistenceBaseline,,0.9245502031340684,0.9251618681204067,0.9245502031340684,0.8315765543815087,0.9248379449276897,0.639344262295082,0.6610169491525424,0.65,0.6565656565656566,59,0.8949235597134191,0.8749899761336516,0.0,0.07603017991874637
Val_RawArgmax,,0.9234338747099768,0.9239643667896309,0.9234338747099768,0.83915770609319,0.9236708829179453,0.65625,0.7,0.6774193548387096,0.6907894736842105,30,0.9691337958693523,0.8769136240513011,0.029850746268656716,0.0765661252900232
Test_RawArgmax,,0.922809053975624,0.923010423471274,0.922809053975624,0.8192520101446167,0.9228875279935191,0.6206896551724138,0.6101694915254238,0.6153846153846154,0.6122448979591837,59,0.961044087252669,0.8713670897193799,0.0,0.07777132907719095
Val_Class0Calibrated,0.37,0.9245939675174014,0.9253645706819,0.9245939675174014,0.8466831476256971,0.9249157030963777,0.6666666666666666,0.7333333333333333,0.6984126984126984,0.7189542483660131,30,0.9691337958693523,0.8792763909178269,0.029850746268656716,0.07540603248259861
Test_Class0Calibrated,0.37,0.9239698200812536,0.9244500326322213,0.9239698200812536,0.8275325479691023,0.9241939926084543,0.6333333333333333,0.6440677966101694,0.6386554621848739,0.6418918918918918,59,0.961044087252669,0.8737873843143042,0.0,0.07661056297156123
