split,combination_of_classifiers,classifier_1,classifier_2,n_classifiers,Nf_all_wrong_table8,Nt_all_correct_table8,Nci_disagreement_sum_table8,rho_n_table8,N_TT_both_correct,N_TF_lstm_correct_tlstm_wrong,N_FT_lstm_wrong_tlstm_correct,N_FF_both_wrong,rho_eq10,lstm_accuracy,tlstm_accuracy,agreement_rate,disagreement_rate,ideal_dcs_upper_bound_acc,oracle_gain_over_best_single,total_rows
val,LSTM & TLSTM,LSTM,TLSTM,2,41,766,55,0.5985401459854015,766,27,28,41,0.5985401459854015,0.919953596287703,0.9211136890951276,0.9361948955916474,0.06380510440835267,0.9524361948955916,0.03132250580046403,862
test,LSTM & TLSTM,LSTM,TLSTM,2,89,1541,93,0.6568265682656826,1541,40,53,89,0.6568265682656826,0.9175856065002902,0.9251305861868834,0.9454439930354034,0.054556006964596636,0.9483459082994776,0.02321532211259425,1723
