Split,Calibration,Protocol,NLL,Objective,CDF_EMD2,Brier,ECE,Accuracy,Macro_F1,Weighted_F1,QWK,Ordinal_MAE,AUC_ROC_OVR_Macro,AUC,ChgAcc,Temperature
Val,raw,benchmark_ce,0.2578141189115405,0.2578141189115405,0.03296014572889021,0.12886129062429597,0.016500514384038656,0.9211136890951276,0.8055205256041128,0.9197404451908046,0.8619505835329571,0.08004640371229699,0.9577760775193216,0.9577760775193216,,1.0287741009408102
Val,temperature_oof,benchmark_ce,0.2585836195929753,0.2585836195929753,0.03302306988678153,0.12904515300274477,0.015623142123947494,0.9211136890951276,0.8055205256041128,0.9197404451908046,0.8619505835329571,0.08004640371229699,0.9566372042314725,0.9566372042314725,,1.0287741009408102
Test,raw,benchmark_ce,0.25464693990458304,0.25464693990458304,0.03324170228243826,0.12980876622428333,0.015194128881844569,0.9239698200812536,0.8049428016855101,0.9226669700804794,0.8691756231782886,0.07661056297156123,0.9609828646028462,0.9609828646028462,,1.0287741009408102
Test,temperature,benchmark_ce,0.25473506892931663,0.25473506892931663,0.03325079559167882,0.12977486435744198,0.014844503628796768,0.9239698200812536,0.8049428016855101,0.9226669700804794,0.8691756231782886,0.07661056297156123,0.9610300983353302,0.9610300983353302,,1.0287741009408102
