Model,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,QWK,Ordinal_MAE,AUC_ROC_OVR_Macro,AUC
TLSTM only,0.9251305861868834,0.9209800523754244,0.9251305861868834,0.7625423932759393,0.9222594171823576,0.8604835064873162,0.0771909460243761,0.969685043894767,0.969685043894767
GAT only,0.9233894370284388,0.9234849683011221,0.9233894370284388,0.8251834760731559,0.923424283112033,0.8694225296577266,0.07777132907719095,0.9306294421321039,0.9306294421321039
Soft voting,0.9280325014509576,0.9254139521831473,0.9280325014509576,0.7938734250171265,0.9259699980095742,0.8749372031258127,0.07254788160185723,0.9592299377397492,0.9592299377397492
Validation-weighted voting,0.9280325014509576,0.9254139521831473,0.9280325014509576,0.7938734250171265,0.9259699980095742,0.8749372031258127,0.07254788160185723,0.9592165841380416,0.9592165841380416
DMF/DCS proposed (constant),0.9297736506094022,0.926706031852487,0.9297736506094022,0.7792481552269886,0.9259744898785379,0.8747283803671629,0.07080673244341265,0.9489855329879547,0.9489855329879547
