split,classifier_1,classifier_2,N_TT_both_correct,N_TF_lstm_correct_gat_wrong,N_FT_lstm_wrong_gat_correct,N_FF_both_wrong,rho_eq10,lstm_accuracy,gat_accuracy,agreement_rate,disagreement_rate,ideal_dcs_upper_bound_acc,oracle_gain_over_best_single,total_rows
val,LSTM,GAT,753,39,18,52,0.6459627329192547,0.9187935034802784,0.894431554524362,0.931554524361949,0.06844547563805105,0.9396751740139211,0.02088167053364265,862
test,LSTM,GAT,1516,78,25,104,0.6688102893890675,0.9251305861868834,0.8943702843876958,0.9378990133488102,0.062100986651189787,0.9396401625072548,0.01450957632037142,1723
