Model,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,QWK,Ordinal_MAE,AUC
LSTM only,0.9251305861868834,0.9257928678184247,0.9251305861868834,0.8320524423499397,0.9254392236408069,0.8759548708640443,0.07544979686593152,0.9479305789400961
GAT only,0.8943702843876958,0.8999409941115893,0.8943702843876958,0.7615884022485672,0.8966501373649882,0.8249167259422964,0.1073708647707487,0.9501017952557108
Soft voting,0.9204875217643644,0.9204888537249152,0.9204875217643644,0.8009402326338743,0.9184211263324045,0.8634957094289628,0.07951247823563552,0.9635711608950904
Validation-weighted voting,0.9204875217643644,0.9202621117773304,0.9204875217643644,0.7990595793835461,0.9184924035963317,0.8638251893199711,0.07951247823563552,0.963567187323116
DMF/DCS proposed (constant),0.922809053975624,0.9230435082633429,0.922809053975624,0.814440984443039,0.9210070390805633,0.8676884348124818,0.0771909460243761,0.9546617948226629
