feature,mean_abs_shap
current_ratio,0.0016964708766973745
roa,0.0015135063594569384
debt_equity_ratio,0.0013625751914426512
free_cashflow_ps,0.0010677708740648557
roe,0.0008116932813903677
asset_turnover,0.0006913432900340754
operating_cashflow_ps_delta,0.0006390880691424386
free_cashflow_ps_delta,0.0005597628874611906
operating_cashflow_ps,0.0004065350636497148
net_profit_margin,0.0003528431808570329
ebit_margin_delta,0.00029599784554867485
pretax_profit_margin,0.0002750166422961231
gross_profit_margin,0.0002544919136356403
net_profit_margin_delta,0.0002480335363042928
current_ratio_delta,0.00022976184908096232
pretax_profit_margin_delta,0.00017058085003747485
debt_equity_ratio_delta,0.00015652414002531522
gross_profit_margin_delta,0.00013548412260375636
roa_delta,7.928514550836315e-05
asset_turnover_delta,7.883959258835475e-05
operating_profit_margin_delta,6.780670252997512e-05
ebit_margin,2.0460768025299683e-05
operating_profit_margin,0.0
roe_delta,0.0
