ticker,company_name,rating_date,sector,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,explained_class_lime_prediction_probability,lime_rule,lime_weight_for_explained_class,direction,feature_source,probability_source,lime_probability_source,xai_probability_source,proxy_mse,proxy_argmax_agreement,html_path,lime_instance_plot_path
BC,Brunswick Corporation,2016-06-22,5,210,1,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,ebit_margin <= -0.20,0.03663805613902473,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,2,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,free_cashflow_ps > 0.45,0.03167553631938176,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,3,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,operating_profit_margin <= -0.24,0.025528405803600582,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,4,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,roe <= 0.05,-0.019362092798280814,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,5,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,-1.13 < current_ratio <= -0.19,0.017961467900707673,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,6,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,roa <= 0.01,0.01116425799953378,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,7,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,-0.60 < asset_turnover <= 0.12,0.009076360562564157,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,8,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,operating_cashflow_ps > 0.62,-0.00811020758241284,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,9,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,net_profit_margin <= -0.05,0.0062853899584011325,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,10,tcn,TCN,0,0,0.9369651971914029,0,0,0.9369651971914029,0.3578716111817476,pretax_profit_margin <= -0.12,-0.005917726639686669,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
