epoch,lr,context_dropout,last_y_mask_prob,train_Loss,val_Loss,train_NLL,val_NLL,train_Objective,val_Objective,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK,train_ChgAcc,val_ChgAcc,train_PersistenceRate,val_PersistenceRate
1,0.0002,0.6,0.55,1.0511720092693146,0.8355874933665424,1.0511720092693146,0.8355874933665424,1.0511720092693146,0.8355874933665424,0.44463509494394876,0.6890951276102089,0.4228127622702307,0.5638517814567231,0.6143391796483496,0.7376737033419563,0.21775696544084988,0.3661151427189163,0.3277661795407098,0.34328358208955223,0.4473804621368108,0.6995359628770301
2,0.0002,0.5879310344827586,0.5344827586206897,0.92555191489058,0.6977672769132733,0.92555191489058,0.6977672769132733,0.92555191489058,0.6977672769132733,0.5688629604209563,0.7088167053364269,0.5369195614261079,0.606868288147463,0.7389481287897475,0.7762154462814764,0.4235110609567646,0.4097883215198418,0.348643006263048,0.29850746268656714,0.5718371082132235,0.7273781902552204
3,0.0002,0.5758620689655172,0.5189655172413794,0.8129665768547425,0.634821336396609,0.8129665768547425,0.634821336396609,0.8129665768547425,0.634821336396609,0.6443605582246625,0.7122969837587007,0.6355151231868718,0.5800099303935621,0.7976301572240222,0.8055742312741266,0.6015457289718427,0.40162473499559115,0.33402922755741127,0.2835820895522388,0.6507664150080074,0.7320185614849188
4,0.0002,0.5637931034482758,0.503448275862069,0.73155663631732,0.6090427599760883,0.73155663631732,0.6090427599760883,0.73155663631732,0.6090427599760883,0.6755891100434683,0.7111368909512761,0.6788223682402377,0.5752690145250071,0.8275729393166967,0.8197355177502383,0.6621347803921575,0.3949518488362298,0.37160751565762007,0.29850746268656714,0.6782200869366277,0.7273781902552204
5,0.0002,0.5517241379310345,0.48793103448275865,0.6720614027469716,0.5831629804004926,0.6720614027469716,0.5831629804004926,0.6720614027469716,0.5831629804004926,0.6994966826813086,0.7180974477958236,0.703370226309886,0.5826016629531354,0.8508026708108051,0.8367671466842581,0.6980255870541037,0.4196454599719589,0.3862212943632568,0.29850746268656714,0.7009837565774423,0.7366589327146171
6,0.0002,0.5396551724137931,0.47241379310344833,0.6336369977011558,0.5585359968331464,0.6336369977011558,0.5585359968331464,0.6336369977011558,0.5585359968331464,0.7127659574468085,0.7262180974477959,0.7215884762409585,0.5928506095542166,0.8628722757441518,0.8522946758803922,0.7241107311617807,0.4382945369713329,0.33820459290187893,0.29850746268656714,0.7210020590253946,0.7459396751740139
7,0.0002,0.5275862068965517,0.45689655172413796,0.6048703386755782,0.5308641846661225,0.6048703386755782,0.5308641846661225,0.6048703386755782,0.5308641846661225,0.7317547471974376,0.7459396751740139,0.7428120673421622,0.6132244875189397,0.8743141217338248,0.8631062318271444,0.7391975915090035,0.47127868182113875,0.3695198329853862,0.31343283582089554,0.736902310684054,0.7633410672853829
8,0.0002,0.5155172413793103,0.4413793103448276,0.5728505887611047,0.5023378682800346,0.5728505887611047,0.5023378682800346,0.5728505887611047,0.5023378682800346,0.7474262182566919,0.7784222737819025,0.7580298493774196,0.6378831402499611,0.8873513253425361,0.8741701213800622,0.7536136503561808,0.5300325275375175,0.34237995824634654,0.29850746268656714,0.7553191489361702,0.7993039443155452
9,0.0002,0.503448275862069,0.42586206896551726,0.5513610225115453,0.47775153584104124,0.5513610225115453,0.47775153584104124,0.5513610225115453,0.47775153584104124,0.7557767101349806,0.7981438515081206,0.769207010874552,0.6577768072140063,0.8952289338046272,0.8855456361316216,0.7618120136855675,0.5534819692604629,0.34237995824634654,0.23880597014925373,0.7644703729123771,0.8283062645011601
10,0.0002,0.49137931034482757,0.41034482758620694,0.5372907492476834,0.44647188584931763,0.5372907492476834,0.44647188584931763,0.5372907492476834,0.44647188584931763,0.7735072065888813,0.8155452436194895,0.7873269064018859,0.6623783690691466,0.9015480237344314,0.8979281767368285,0.775289403380885,0.6084524902292923,0.31524008350730687,0.2537313432835821,0.7858613589567605,0.845707656612529
