Split,Accuracy,Macro_F1,Weighted_F1,AUC,QWK,ChgAcc,PersistenceRate
Val,0.9269141531322506,0.859818626617265,0.9269916045428231,0.9605954670489664,0.8759885256907691,0.07462686567164178,0.9930394431554525
Test,0.922809053975624,0.8142979086641059,0.922368676258469,0.951256889616854,0.869533796341147,0.038461538461538464,0.9924550203134068
