Metric,BestValue,BestEpoch
Train Loss,0.2800079818106267,64
Val Loss,0.289598963342244,28
Train Accuracy,0.9285121910764638,72
Val Accuracy,0.9234338747099768,14
Val Macro_F1,0.842730783462544,14
Val ChgAcc,0.08955223880597014,1
Final Loss Gap,0.006672833586391036,100
Final ValLoss Drift,0.0031881652547698924,100
ValLoss Last10 Mean,0.2927955354553088,100
ValLoss Last10 Std,1.1744725961705645e-05,100
