ticker,company_name,rating_date,sector,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,feature,feature_value,gradientshap_attribution,direction,feature_source,probability_source,xai_probability_source,xai_method,gradientshap_method,proxy_mse,proxy_argmax_agreement
BC,Brunswick Corporation,2016-06-22,5,210,6,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,roa,-0.8850814700126648,0.08225652575492859,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,7,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,ebit_margin,-1.280383586883545,0.07597187906503677,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,8,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,asset_turnover,-0.4394264817237854,-0.05594732612371445,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,9,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,net_profit_margin,-1.3641929626464844,-0.04673882573843002,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,10,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,debt_equity_ratio,0.9251257181167603,-0.029022814705967903,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,1,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,pretax_profit_margin,-1.4275678396224976,-0.9146806597709656,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,2,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,operating_profit_margin,-1.2214301824569702,0.4369870126247406,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,3,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,roe,-0.6474947333335876,0.2943497598171234,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,4,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,ebit_margin,-1.280383586883545,-0.15329355001449585,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,5,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,net_profit_margin,-1.3641929626464844,0.06791127473115921,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,6,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,debt_equity_ratio,0.9251257181167603,0.057577524334192276,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,7,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,roa,-0.8850814700126648,-0.042444322258234024,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,8,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,free_cashflow_ps,6.379245281219482,-0.025682726874947548,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,9,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,gross_profit_margin,-0.9514230489730835,-0.02093549072742462,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
BC,Brunswick Corporation,2016-06-22,5,210,10,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,operating_cashflow_ps,2.9415857791900635,-0.020501280203461647,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,1,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,roe,-4.506278872489929,-0.061193522065877914,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,2,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,pretax_profit_margin,0.022576638497412205,0.0495002456009388,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,3,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,debt_equity_ratio,-9.846749305725098,0.04549232870340347,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,4,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,operating_profit_margin,0.3139689341187477,-0.03255198523402214,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,5,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,asset_turnover,0.7446936964988708,-0.021929483860731125,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,6,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,ebit_margin,0.4219745546579361,-0.02039739489555359,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,7,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,free_cashflow_ps,-0.20535764284431934,0.012827622704207897,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,8,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,roa,0.024583096150308847,-0.012475860305130482,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,9,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,gross_profit_margin,-0.560794323682785,0.002019489649683237,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,10,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,net_profit_margin,-0.043353842629585415,-0.0016622788971289992,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,1,tcn,TCN,1,1,0.9815649039149016,1,1,0.9815649039149016,debt_equity_ratio,-9.846749305725098,0.6105355620384216,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,2,tcn,TCN,1,1,0.9815649039149016,1,1,0.9815649039149016,net_profit_margin,-0.043353842629585415,0.11001439392566681,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,3,tcn,TCN,1,1,0.9815649039149016,1,1,0.9815649039149016,roe,-4.506278872489929,-0.07001447677612305,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,4,tcn,TCN,1,1,0.9815649039149016,1,1,0.9815649039149016,current_ratio,0.46975886821746826,0.045762863010168076,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,5,tcn,TCN,1,1,0.9815649039149016,1,1,0.9815649039149016,operating_cashflow_ps,-0.4763597622513771,0.0420590415596962,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05167219849374914,0.8485200232153222
