Metric,BestValue,BestEpoch
Train Loss,0.21747864981901452,94
Val Loss,0.27955806193108346,78
Train Accuracy,0.9323953328757721,97
Val Accuracy,0.9176334106728539,73
Val Macro_F1,0.7879367750498433,97
Val ChgAcc,0.40298507462686567,1
Final Loss Gap,0.057794222013181906,100
Final ValLoss Drift,0.0012632974546636366,100
ValLoss Last10 Mean,0.28188165982195507,100
ValLoss Last10 Std,0.0007951756969076659,100
