Metric,BestValue,BestEpoch
Train Loss,0.1902258865649464,70
Val Loss,0.2682312553415719,27
Train Accuracy,0.9399450926561428,70
Val Accuracy,0.9222737819025522,21
Val Macro_F1,0.8099449198966698,21
Val ChgAcc,0.3880597014925373,3
Final Loss Gap,0.08512926220962608,100
Final ValLoss Drift,0.012179234948899498,100
ValLoss Last10 Mean,0.2803803655705706,100
ValLoss Last10 Std,2.854633673008258e-05,100
