epoch,lr,context_dropout,last_y_mask_prob,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK,train_ChgAcc,val_ChgAcc,train_PersistenceRate,val_PersistenceRate
1,0.0003,0.6,0.55,0.9020382207908884,0.5817566157217092,0.6198810340883093,0.8190255220417634,0.6008643001077426,0.6554538126407592,0.7811854573880961,0.9100822330848669,0.5267514744257181,0.675809021949302,0.33402922755741127,0.29850746268656714,0.6249142072752231,0.8491879350348028
2,0.0003,0.5862068965517241,0.5344827586206897,0.6303711660637569,0.44331162780730743,0.7409059711736444,0.845707656612529,0.7465361459680252,0.6851818557272334,0.880601950501089,0.924351340411794,0.7388674947504201,0.7115242261849355,0.33611691022964507,0.31343283582089554,0.7512010981468772,0.8723897911832946
3,0.0003,0.5724137931034483,0.5189655172413794,0.5354552093754369,0.387065385375388,0.78849233584992,0.8596287703016241,0.7969288991317841,0.6546304114847978,0.9098503481569491,0.9360561199972931,0.7882789653084695,0.724030131826742,0.35490605427974947,0.3582089552238806,0.797300388927019,0.8793503480278422
4,0.0003,0.5586206896551724,0.503448275862069,0.4949771771712424,0.35723397439981003,0.8129718599862732,0.8909512761020881,0.8228301069064909,0.6870895978183515,0.9237298487046862,0.9374472096545524,0.8139793540424367,0.7721040903425614,0.38204592901878914,0.29850746268656714,0.820178448867536,0.919953596287703
5,0.0003,0.5448275862068965,0.48793103448275865,0.46022729889611796,0.33468267003510777,0.8262411347517731,0.8955916473317865,0.835423054914096,0.6946091419648531,0.9344353951181854,0.9387682854663771,0.8285732346576249,0.7911107309841487,0.35490605427974947,0.2537313432835821,0.8364218714253031,0.931554524361949
6,0.0003,0.5310344827586206,0.47241379310344833,0.44616757803393076,0.32304362147147586,0.8351635781285747,0.9025522041763341,0.8449037207045166,0.7042109701066511,0.9367806639721413,0.940534975812772,0.8377518836798931,0.801254647286561,0.35073068893528186,0.2537313432835821,0.8472889498970487,0.9385150812064965
7,0.0003,0.5172413793103448,0.45689655172413796,0.4260212680658577,0.31496091494704065,0.8416838252116221,0.9095127610208816,0.8503191754067568,0.7517165216551245,0.9429252489017367,0.942894908967585,0.8476919728031087,0.8215983214627254,0.3465553235908142,0.23880597014925373,0.8535804163806909,0.9489559164733179
8,0.0003,0.503448275862069,0.4413793103448276,0.4089700137483422,0.306959382308055,0.8504918782887211,0.9106728538283063,0.860093536623696,0.7402098963074573,0.9478052664436655,0.9406542704455253,0.853775850557648,0.8231533345420193,0.302713987473904,0.208955223880597,0.8681079844429193,0.9547563805104409
9,0.0003,0.4896551724137931,0.42586206896551726,0.39037703232998655,0.30105845937872705,0.8628460306566004,0.9118329466357309,0.8712146401882874,0.741149749741901,0.9519679693125259,0.9405207000447974,0.863500893311324,0.825285547368672,0.3235908141962422,0.208955223880597,0.8779455502173416,0.9559164733178654
10,0.0003,0.4758620689655172,0.41034482758620694,0.37677922612386394,0.294982381908357,0.8685655456417296,0.9129930394431555,0.8770360176502804,0.7420878459687122,0.9554301707313503,0.9420088326607287,0.8720013112700052,0.8274159103043246,0.302713987473904,0.19402985074626866,0.8860672614962252,0.9593967517401392
11,0.0003,0.46206896551724136,0.39482758620689656,0.36376744387379445,0.28988085452060963,0.875314573324182,0.9153132250580046,0.8821177207199519,0.7438469380933279,0.9597848771327645,0.9436766405072129,0.8786873351803112,0.8315250552970788,0.3089770354906054,0.19402985074626866,0.8933882406771906,0.9617169373549884
12,0.0003,0.4482758620689655,0.37931034482758624,0.3580591664505725,0.28677545446392555,0.8780599405170442,0.9129930394431555,0.8852885631024696,0.7420878459687122,0.9601385251211892,0.9447883972921679,0.8839690446187529,0.8274159103043246,0.2755741127348643,0.1791044776119403,0.9000228780599405,0.9617169373549884
13,0.0003,0.43448275862068964,0.36379310344827587,0.3521513185834372,0.28607927110659825,0.8772592084191261,0.9153132250580046,0.8848121622978667,0.7438469380933279,0.9619950684287991,0.9448049060203467,0.8809139266215802,0.8315250552970788,0.27139874739039666,0.1791044776119403,0.8995653168611302,0.9640371229698376
14,0.0003,0.42068965517241375,0.34827586206896555,0.342762523529541,0.2850623451985782,0.8877831159917638,0.9176334106728539,0.8943814720797044,0.7698182472707789,0.9638688450771636,0.9438716032175609,0.8916084538944368,0.8494600309632594,0.29018789144050106,0.1791044776119403,0.9075726378403112,0.9663573085846868
15,0.0003,0.4068965517241379,0.33275862068965517,0.32122981181490534,0.2829884128545664,0.897963852665294,0.91415313225058,0.903796066223015,0.7543463554443589,0.9688283227731525,0.9440191612321113,0.9009492295861794,0.8461905666760905,0.27348643006263046,0.11940298507462686,0.9204987417067033,0.9721577726218097
16,0.0003,0.3931034482758621,0.3172413793103448,0.3133776051737411,0.28420073457771,0.894646533973919,0.9176334106728539,0.9012296944678079,0.7778265632309577,0.9705621928755263,0.9429352343839804,0.9009372224437755,0.8595350118197884,0.2609603340292276,0.11940298507462686,0.918897277510867,0.9756380510440835
17,0.0003,0.3793103448275862,0.3017241379310345,0.3168431049665797,0.2779905198275905,0.8994509265614276,0.919953596287703,0.9060633370740758,0.7928789192519,0.9688829169285981,0.9463317963903668,0.9054406742169527,0.8634917720502169,0.24634655532359082,0.11940298507462686,0.9254175245939145,0.9779582366589327
18,0.0003,0.36551724137931035,0.28620689655172415,0.30574344733682657,0.2778220761679718,0.9043697094486387,0.9211136890951276,0.909974130291316,0.809002197960257,0.9713925503145401,0.9452082719040321,0.907431908885201,0.8612973262080563,0.25052192066805845,0.11940298507462686,0.9304506977808282,0.9802784222737819
19,0.0003,0.35172413793103446,0.2706896551724138,0.2986214770397478,0.2768713176043017,0.9064287348432853,0.9211136890951276,0.9120245842632219,0.8141553255847734,0.9728729651992065,0.9457274837840769,0.9137880063300003,0.8625977163229477,0.2359081419624217,0.1044776119402985,0.9334248455730954,0.9825986078886311
20,0.0003,0.33793103448275863,0.25517241379310346,0.2921853750616864,0.2785849137676841,0.911461908030199,0.9187935034802784,0.9164881652860108,0.8004050630697134,0.9735760671022288,0.9436683059393903,0.9169009003152657,0.8587272294588053,0.25260960334029225,0.1044776119402985,0.9368565545641729,0.9802784222737819
