row_id,ticker,company_name,rating_date,sector,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,feature,feature_value,gradientshap_attribution,direction,feature_source,probability_source,xai_probability_source,xai_method,gradientshap_method,proxy_mse,proxy_argmax_agreement
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,1,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,debt_equity_ratio,-5.924241781234741,-0.03679591044783592,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,2,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,ebit_margin,-5.368618011474609,0.02109181135892868,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,3,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,pretax_profit_margin,-4.931588292121887,-0.02052060328423977,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,4,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,roe,4.8154576420784,-0.017594734206795692,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,5,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,roa,-3.5625142455101013,-0.015453660860657692,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,6,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,asset_turnover,-0.9550118446350098,0.007385718170553446,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,7,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,operating_profit_margin,-4.8966240882873535,0.006137473043054342,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,8,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,gross_profit_margin,1.2285275161266327,0.006105998996645212,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,9,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,net_profit_margin,-5.520852327346802,0.002276948420330882,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,10,lstm,LSTM,0,0,0.9572058348026206,0,0,0.9572058348026206,free_cashflow_ps,-2.5046125054359436,0.002229098230600357,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
test_000380,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo,2011-12-01,9,380,1,lstm,LSTM,0,0,0.9572058348026206,1,1,0.037399976158513065,pretax_profit_margin,-4.931588292121887,3.9747910499572754,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05128824987402922,0.8479396401625072
