feature,mean_abs_shap
pretax_profit_margin,0.04670631238734337
debt_equity_ratio,0.04256713725694938
current_ratio,0.03423018743749934
roe,0.024177660394680365
net_profit_margin,0.021595286167469568
roa,0.012016996547607059
gross_profit_margin,0.007761709714761446
operating_profit_margin,0.005484813730352973
asset_turnover,0.005358448021057839
free_cashflow_ps,0.003821798995178051
operating_cashflow_ps,0.0029018758306993495
ebit_margin,0.0023240234312031697
debt_equity_ratio_delta,0.001720374187826137
asset_turnover_delta,0.0011984630001207945
operating_cashflow_ps_delta,0.0010778490664121237
current_ratio_delta,0.0010749140778877145
roe_delta,0.0008696989832695101
gross_profit_margin_delta,0.0007671856779827534
net_profit_margin_delta,0.0006772609667609966
pretax_profit_margin_delta,0.0006636769866062986
ebit_margin_delta,0.0005690837927195824
roa_delta,0.0005616480110512543
free_cashflow_ps_delta,0.0005439061646927925
operating_profit_margin_delta,0.00024053049076277683
