row_id,ticker,company_name,rating_date,sector,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,explained_class_lime_prediction_probability,lime_rule,lime_weight_for_explained_class,direction,feature_source,probability_source,lime_probability_source,xai_probability_source,proxy_mse,proxy_argmax_agreement,html_path,lime_instance_plot_path
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,1,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,pretax_profit_margin <= -0.12,0.442785278823641,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,2,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,operating_profit_margin <= -0.24,-0.3836874950981191,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,3,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,net_profit_margin <= -0.05,-0.13454609300378512,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,4,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,ebit_margin <= -0.20,0.12256562811443909,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,5,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,-0.74 < gross_profit_margin <= -0.13,-0.0704731642449686,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,6,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,debt_equity_ratio <= -0.81,-0.0460699835590478,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,7,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,roe > 0.77,-0.040645971471656,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,8,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,-0.92 < operating_cashflow_ps <= -0.08,-0.03518116211872433,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,9,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,free_cashflow_ps <= -0.55,0.028892458250708887,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
test_000431,MTOR,"MERITOR, INC",2015-05-06,2,431,10,lstm,LSTM,0,Distressed,0.9889802553233904,1,HY,0.010830259466319778,0.6656676325796922,-1.13 < current_ratio <= -0.19,-0.018693521828391853,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_431.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_000431_all_classes_plot.png
