hidden,layers,dropout,lr,weight_decay,focal_gamma,ordinal_alpha,label_smoothing,max_epochs,patience,prior_name,trial,fidelity_epochs,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_qwk,val_chgacc,params,selection_score
64,2,0.24031778341767132,0.00046962617069105483,4.694747186069065e-05,1.2938796960771901,0.05626481969561753,0.014865083424068845,50,25,mutated_smaller_faster,7,8,0.13140507694117706,0.9234338747099768,0.842730783462544,0.9239311480119778,0.8724212043603042,0.014925373134328358,155539,1.1725601859864725
64,1,0.06237018765657636,0.0004926000161686738,7.806502708001884e-05,1.8737353278085989,0.0,0.019365567091829617,50,25,mutated_shallow_temporal,9,8,0.09543746616475267,0.9187935034802784,0.8051774031379925,0.9179863859154944,0.8656280341697621,0.04477611940298507,56211,1.1499908673782568
96,2,0.15,0.0005,0.0001,1.5,0.04,0.0,50,25,smaller_faster,1,7,0.12012142497881936,0.919953596287703,0.8196370625000443,0.9201475859162322,0.8652212435503205,0.014925373134328358,337683,1.1289362632980973
160,1,0.11857290584533758,0.0007463969252396509,0.0001217524546364172,1.7178571944870475,0.025589888719367057,0.013578271261437899,80,40,mutated_shallow_temporal,8,5,0.11111169725034187,0.9187935034802784,0.7945338431852834,0.9171268187849673,0.8633072664171734,0.07462686567164178,293907,1.1198358380239641
128,1,0.1,0.0007,0.0001,1.5,0.02,0.0,50,25,shallow_temporal,3,7,0.11688203100123704,0.9176334106728539,0.7874837964764358,0.9162653234569382,0.856733447129638,0.05970149253731343,194195,1.1168538722856918
128,2,0.2,0.0003,0.0001,1.5,0.04,0.0,50,25,current_strong_default,0,8,0.11609776318073273,0.9187935034802784,0.8184465863095681,0.9189874931088076,0.868965097896145,0.0,589459,1.1012818373089894
128,1,0.06581978829307726,0.0007637779955018586,0.0001755987461076852,1.4226633650699405,0.03141938093893529,0.0,35,18,mutated_shallow_temporal,11,7,0.1212590160302109,0.9153132250580046,0.7701895684472818,0.9131226074088872,0.8510088605061588,0.07462686567164178,194195,1.100036034982563
160,2,0.3,0.0002,0.0002,1.5,0.04,0.0,50,25,regularized_larger,2,8,0.11860528299606593,0.919953596287703,0.8263718415830333,0.9202689278734231,0.8713694381847515,0.0,910867,1.0779026527071307
160,2,0.13125660296934094,0.0003674529950702207,4.2189688601220646e-05,1.719612575326818,0.03875185222534368,0.0,100,50,mutated_current_strong_default,5,8,0.1076699858855482,0.919953596287703,0.8196370625000443,0.9201475859162322,0.8652212435503205,0.014925373134328358,910867,1.0722404352527608
