feature,mean_abs_shap
debt_equity_ratio_delta,0.015516120087816151
ebit_margin_delta,0.011759328656928553
pretax_profit_margin_delta,0.005486748239695728
gross_profit_margin_delta,0.005162926991005598
roe_delta,0.003966800819375562
roe,0.0037223530966533627
operating_cashflow_ps_delta,0.0031451088083004016
roa,0.0031343844752706467
net_profit_margin,0.0019835937285722894
free_cashflow_ps_delta,0.0016027024777465226
operating_profit_margin,0.0015513530089798855
pretax_profit_margin,0.0014052088185520233
ebit_margin,0.0013546988158052767
current_ratio,0.0010683875648118677
debt_equity_ratio,0.0008501237846244077
gross_profit_margin,0.0008023370683665463
operating_profit_margin_delta,0.00065793313621973
current_ratio_delta,0.0006575485370016547
roa_delta,0.0005550545266279476
asset_turnover_delta,0.0005313065805266348
free_cashflow_ps,0.00018837964633506242
net_profit_margin_delta,0.0001347542049050102
asset_turnover,5.277238284493387e-05
operating_cashflow_ps,0.0
