split,combination_of_classifiers,classifier_1,classifier_2,n_classifiers,Nf_all_wrong_table8,Nt_all_correct_table8,Nci_disagreement_sum_table8,rho_n_table8,N_TT_both_correct,N_TF_tlstm_correct_gat_wrong,N_FT_tlstm_wrong_gat_correct,N_FF_both_wrong,rho_eq10,tlstm_accuracy,gat_accuracy,agreement_rate,disagreement_rate,ideal_dcs_upper_bound_acc,oracle_gain_over_best_single,total_rows
val,TLSTM & GAT,TLSTM,GAT,2,46,776,40,0.696969696969697,776,21,19,46,0.696969696969697,0.9245939675174014,0.9222737819025522,0.9524361948955916,0.04756380510440835,0.9466357308584686,0.022041763341067222,862
test,TLSTM & GAT,TLSTM,GAT,2,95,1557,71,0.7279693486590039,1557,39,32,95,0.7279693486590039,0.926291352292513,0.922228670922809,0.9576320371445154,0.04236796285548462,0.9448636099825886,0.018572257690075533,1723
