epoch,train_NLL,val_NLL,train_Objective,val_Objective,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK
1,1.0154910378279294,0.8901416448516382,1.0154910378279294,0.8901416448516382,1.0154910378279294,0.8901416448516382,0.4421185083504919,0.6403712296983759,0.20438380793738928,0.26025459688826025,0.9833216195174413,0.944409550262108,0.0,0.0
2,0.9790136012156361,0.8638846819981766,0.9790136012156361,0.8638846819981766,0.9790136012156361,0.8638846819981766,0.4421185083504919,0.6403712296983759,0.20438380793738928,0.26025459688826025,0.9860543856635537,0.9497408133261999,0.0,0.0
3,0.9444972295378885,0.8390574398427231,0.9444972295378885,0.8390574398427231,0.9444972295378885,0.8390574398427231,0.4421185083504919,0.6403712296983759,0.20438380793738928,0.26025459688826025,0.9869931700032247,0.9494090855411271,0.0,0.0
4,0.9119228783026941,0.8151796474430584,0.9119228783026941,0.8151796474430584,0.9119228783026941,0.8151796474430584,0.6424159231297186,0.7610208816705336,0.4792205652394232,0.46371785319153735,0.9876120790747406,0.9535437473597731,0.0929572756750392,0.3390183868274127
5,0.8811176331637948,0.7925596090117022,0.8811176331637948,0.7925596090117022,0.8811176331637948,0.7925596090117022,0.7505147563486616,0.8781902552204176,0.5699471838287195,0.5863847607374496,0.988049345140331,0.952973820680004,0.1487544228537242,0.6364356739347155
6,0.8518743626153118,0.7709712813128747,0.8518743626153118,0.7709712813128747,0.8518743626153118,0.7709712813128747,0.7561198810340883,0.8967517401392111,0.573624826734913,0.601603114224915,0.9885874214141172,0.95458520757941,0.15335077008585796,0.6881031542404874
7,0.8268550080934594,0.7542094279643741,0.8268550080934594,0.7542094279643741,0.8268550080934594,0.7542094279643741,0.7587508579272477,0.9060324825986079,0.5753717966780009,0.6082938626168458,0.9900183289223717,0.9543257570125698,0.15685031413804962,0.7263161077681353
8,0.8002875686121246,0.7346966198596802,0.8002875686121246,0.7346966198596802,0.8002875686121246,0.7346966198596802,0.7592084191260581,0.9060324825986079,0.5753681782611835,0.6080259609671375,0.9900802119290241,0.9533732548842786,0.15810734211078215,0.7400639285929678
9,0.7750023035218159,0.7157535875566499,0.7750023035218159,0.7157535875566499,0.7750023035218159,0.7157535875566499,0.7588652482269503,0.9060324825986079,0.5749010168207546,0.6077937767481977,0.9901928209554364,0.9537550483222651,0.1587579825415084,0.7466781873075359
10,0.7533450952989373,0.7007811429754018,0.7533450952989373,0.7007811429754018,0.7533450952989373,0.7007811429754018,0.9431480210478151,0.9083526682134571,0.9425091104151665,0.6500227312780827,0.9914266545359823,0.9559142361258415,0.9221439108859623,0.7664490855128734
11,0.7301800645388858,0.6830649759162521,0.7301800645388858,0.6830649759162521,0.7301800645388858,0.6830649759162521,0.9446350949439487,0.9118329466357309,0.9443724713292112,0.6882852975091601,0.9914556810510723,0.9564339427725788,0.9273343567030088,0.7880293119559337
12,0.7084206753301542,0.6667794378550581,0.7084206753301542,0.6667794378550581,0.7084206753301542,0.6667794378550581,0.945664607641272,0.91415313225058,0.9457893333854375,0.706307748921128,0.9914695573615268,0.956377646758504,0.933862204928615,0.7997456777443572
13,0.6873734451846847,0.6507238689157744,0.6873734451846847,0.6507238689157744,0.6873734451846847,0.6507238689157744,0.948409974834134,0.9187935034802784,0.9489610425696043,0.7624969616183792,0.9914282971763679,0.9562444799832358,0.9439927035077679,0.8376183322602953
14,0.6674219761513037,0.635748399226585,0.6674219761513037,0.635748399226585,0.6674219761513037,0.635748399226585,0.9498970487302677,0.919953596287703,0.9509317874343238,0.7751618488407107,0.991502031260027,0.9565607505434842,0.9500366744226171,0.8528033393416184
15,0.6481299342820795,0.6213403687868533,0.6481299342820795,0.6213403687868533,0.6481299342820795,0.6213403687868533,0.9513841226264013,0.9222737819025522,0.9528681487339113,0.7883859120682447,0.9915964251620277,0.95596699360362,0.9549016991905461,0.8637588167299662
16,0.6315247152509205,0.6101525694503016,0.6315247152509205,0.6101525694503016,0.6315247152509205,0.6101525694503016,0.9516129032258065,0.9222737819025522,0.953192095666599,0.7883859120682447,0.9923673171731414,0.9567066154386072,0.9559876547491691,0.8637588167299662
17,0.6138884337804935,0.5969583363496119,0.6138884337804935,0.5969583363496119,0.6138884337804935,0.5969583363496119,0.9520704644246168,0.9222737819025522,0.953775368238943,0.7883859120682447,0.9923304529080866,0.9564082544064602,0.9566949491474228,0.8637588167299662
18,0.5970284754110027,0.5842393361282271,0.5970284754110027,0.5842393361282271,0.5970284754110027,0.5842393361282271,0.9524136353237246,0.9222737819025522,0.95411634131684,0.7883859120682447,0.9924220671492954,0.9558522315920926,0.9569943908274379,0.8637588167299662
19,0.5805925415119824,0.5717548950230432,0.5805925415119824,0.5717548950230432,0.5805925415119824,0.5717548950230432,0.9535575383207504,0.9234338747099768,0.9555669566904882,0.7893186686439283,0.9925736076224441,0.9551677529890616,0.9591938806030418,0.8658498627656264
20,0.566314408941175,0.5619861936219339,0.566314408941175,0.5619861936219339,0.566314408941175,0.5619861936219339,0.9542438801189659,0.9211136890951276,0.9562883077079816,0.7840105983846577,0.9927492516181857,0.9554461101481256,0.9600896622424986,0.8563326588387739
