feature,mean_abs_shap
pretax_profit_margin,0.06121088669382712
debt_equity_ratio,0.039955302274584166
current_ratio,0.03791686179549497
roe,0.02828001327297351
net_profit_margin,0.01901500435023591
gross_profit_margin,0.014193367555896235
roa,0.010057471849687746
asset_turnover,0.00898130756620521
operating_profit_margin,0.00697645677628926
free_cashflow_ps,0.00369218286804791
operating_cashflow_ps,0.0035302102058559753
ebit_margin,0.0026680999982367885
operating_cashflow_ps_delta,0.0020750452809806716
debt_equity_ratio_delta,0.0017544061287542451
asset_turnover_delta,0.0017391463878755713
current_ratio_delta,0.001587776997111126
roe_delta,0.0012142858781734767
net_profit_margin_delta,0.0010835568132866852
pretax_profit_margin_delta,0.001027735655273587
gross_profit_margin_delta,0.0010005969032492916
ebit_margin_delta,0.0007112270122763675
roa_delta,0.0006651535339016202
free_cashflow_ps_delta,0.0006608751450685032
operating_profit_margin_delta,0.000180083711772317
