Split,Calibration,Protocol,NLL,Objective,CDF_EMD2,Brier,ECE,Accuracy,Macro_F1,Weighted_F1,QWK,Ordinal_MAE,AUC_ROC_OVR_Macro,AUC,ChgAcc,Precision_Weighted,Recall_Weighted,Temperature
Val,raw,benchmark_ce,0.27181933248687046,0.27181933248687046,0.033878009970876505,0.13192200721602546,0.034933422429259,0.9187935034802784,0.7948739361954179,0.9171596920349313,0.8575077557120536,0.08236658932714618,0.9557221969415641,0.9557221969415641,,0.9169702913315226,0.9187935034802784,0.8472279744395296
Val,temperature_oof,benchmark_ce,0.2652378927032518,0.2652378927032518,0.03365460078696757,0.13179808654504835,0.01319908902148217,0.9187935034802784,0.7948739361954179,0.9171596920349313,0.8575077557120536,0.08236658932714618,0.9534662382651359,0.9534662382651359,,,,0.8472279744395296
Test,raw,benchmark_ce,0.2702875209923902,0.2702875209923902,0.03376092781861912,0.13192017928857788,0.03502691903922098,0.9204875217643644,0.7973030629421968,0.9194961953210753,0.8642830779756225,0.08009286128845038,0.960197400232464,0.960197400232464,,0.9193771148303871,0.9204875217643644,0.8472279744395296
Test,temperature,benchmark_ce,0.26112187536306,0.26112187536306,0.03338681070707575,0.1313200533024932,0.02086537881273859,0.9204875217643644,0.7973030629421968,0.9194961953210753,0.8642830779756225,0.08009286128845038,0.9600799846404535,0.9600799846404535,,,,0.8472279744395296
